,predicted,ground_truth
0,"Phish Phavors New York With 3-Day Phestival In Phinger Lakes Big announcement today from Phish HQ : the quartet will be playing a three day festival in New York in July . Super Ball IX will be held at Watkins Glen International -LRB- about a five hours drive from the city -RRB- from July 1st to the 3rd , and as our resident hippie here at Gothamist HQ points out , '' `` I do n't think there 's been a concert there of this magnitude since Summer Jam , perhaps because that one was a traffic nightmare . '' '' Perfect , because nothing says Independence Day like burning some phossil phuel with your phellow Americans . In their announcement today the band does point out that , yes , this is '' `` the first major music festival held at Watkins Glen since 1973 '' `` s legendary Summer Jam . '' '' They also note it will be their '' `` biggest ball ever '' '' -LRB- of their nine , and counting -RRB- , so be prepared : -LRB- Summer Jam got into Guiness for the '' `` Largest audience at a pop festival , '' '' with 600,000 in attendance -RRB- . Not scared of a little traffic ? Tickets go on sale this coming Monday , April 4th , right here - and more information can be found in their enjoyable little video below . Phish notes that Super Ball IX continues a tradition that began with The Clifford Ball in August of 1996 - which was awesome , and we may or may not be in this video taken there .",concert big announcement 3-day phestival phish phavors new york traffic nightmare hq watkins glen international quartet will super ball playing summer jam phinger lakes magnitude
1,"Movie Review - '' `` In A Better World '' '' - Considering the number of ethical dilemmas raised in the Danish melodrama In A Better World , I wish I could say I 'd been left with more questions rattling around in my head than '' `` What on earth were the Oscar voters thinking ? '' '' Taking home the trophy for Best Foreign Language Film will certainly help Susanne Bier 's earnest treatise on the evil cycle of violence and retribution find an audience at art houses . And there 's a lot to be said for a well-acted , attractively shot drama that has its heart so firmly in the right place . But after a few queasy moments at its midpoint , the trajectory of In a Better World becomes so relentlessly platitudinous that an audience that ought to feel seriously rattled will be settling back , feeling comfortably reassured . That 's not true early on , as Bier cuts between Anton -LRB- Mikael Persbrandt -RRB- , a humanitarian Danish doctor dealing with the aftereffects of tribal violence in an unspecified African nation , and his put-upon adolescent son Elias -LRB- Markus Rygaard -RRB- , who 's at home and being tormented in his father 's absence by a school bully . Elias finds an ally when Christian -LRB- William Johnk Nielsen -RRB- joins the class - a well-spoken , polite kid whose anger at his mother 's recent death -LRB- from cancer -RRB- needs an outlet . Christian 's philosophy about dealing with bullies , which is basically that if you hit back hard enough the first time , you wo n't need to hit back again , is n't one that school authorities would likely approve . But it changes the dynamics of Elias ' life pretty quickly . It also has predictably dire repercussions when the boys decide to apply it to other conflicts . Papa Anton , meanwhile , is confronted with ethical dilemmas of his own when Big Man , a brutal local warlord whose savagery keeps Anton 's operating table full , comes in with a life-threatening wound . From there Bier whips absent parents , pipe bombs , the Hippocratic oath , marital infidelity , impotent authority figures and other ingredients into a potent melodramatic brew that poses but does n't answer such questions as whether violence is sometimes necessary or always a poisoner of souls , and whether turning the other cheek establishes moral authority or destabilizes social order . Contrasting warm African golds with chilly Danish greens , the director matches striking visuals with overtly melodramatic situations - children with access to rooftops and fireworks to get your protective juices flowing , predators so unsubtle their comeuppance seems a foregone conclusion . Bier creates some genuinely disturbing moments - a scene in which Anton allows a bullying father to strike him again and again in front of the kids , a harrowing exchange with Big Man as the thug begins to heal - but resolves them in ways that allow the audience , if not her protagonists , to shrug off moral consequences . There 's sufficient craft that you go along with the twists , even as Bier is wrapping things up with a neatly tied bow . But in a better world , In a Better World would be a better movie .",matches basically anton's authorities putupon unspecified ways violence feeling chilly begins moments conflicts anton questions comeuppance harrowing order contrasting markus hit parents allow recent oath hippocratic lifethreatening relentlessly world language protagonists operating table full christian's children considering susanne pretty quickly consequences african nation disturbing man danish earnest danish greens wellacted better world
2,"True Grit star Hailee Steinfeld in talks to play Sleeping Beauty Oscar nominated actress Hailee Steinfeld is set to play Sleeping Beauty in a re-visioning of the classic fairytale . The 14-year-old star has signed on to play the unfortunate princess in the new movie . It will be a spin of a version of the story which is being written by screen writer Lindsay Devlin . According to Deadline.com the new version will give the star more to do than just sleep as it will follow her as she enters a dream world and has to find her way out . Hailee is also currently being considered to play the lead role in the novel-based film Forgotten , from the upcoming book of the same name by Cat Patrick . After being one of the youngest ever actresses to be nominated for an Academy Award at this years Oscars she is set to have a busy year with several other offers on the table . The young California native had only starred in several television bit parts before landing the lead role in the Cohen Brothers adaptation of the classic John Wayne western True Grit alongside Jeff Bridges .",academy award california fairytale nominated western oscar nominated actress television revisioning version novelbased written sleeping beauty forgotten movie adaptation upcoming actresses unfortunate princess deadlinecom considered landing starred unfortunate story role youngest upcoming book oscars california native oscar nominated dream true classic beauty
3,"& lsquo ; Miral & rsquo ; : Director has conflict of interest `` Miral '' Rated PG - 13 . At Kendall Square Cinema : C + Painter-turned-director Julian Schnabel -LRB- Oscar-nominated for his exquisite `` The Diving Bell and the Butterfly '' -RRB- has built a terrific second career from filmed biographies -LRB- also in-cluding `` Before Night Falls '' and `` Basquiat '' -RRB- that deal with people confined by circumstance yearning to break free . I 'd love to report that his fourth film , `` Miral , '' continues the upward trend , but the screenplay by Schnabel 's girlfriend , Palestinian journalist Rula Jebreal -LRB- based on her semiautobiographical novel -RRB- , contains too many earnest platitudes in its one-sided look at four women 's intertwining lives during the first intifada of the 1980s . -LRB- Some musical choices , such as Tom Waits ' `` All the World Is Green '' playing over a climactic funeral , also stand out in a bad way . -RRB- Miral -LRB- Freida Pinto , `` Slumdog Millionaire '' -RRB- , the young Arab woman growing up in Jerusalem during this period , does n't enter the picture immediately , and when she does , she does n't have much to say -- at first . -LRB- A bit of a good thing , because Pinto 's Indian-accented English does n't quite jibe with the Arabic-tinged tongues of her co-stars . -RRB- Beginning in war-torn Jerusalem circa 1948 , when `` Mama '' Hind Husseini -LRB- Hiam Abbass , `` The Visitor '' -RRB- established an orphanage for refugees that quickly becomes home to 2,000 , the movie spans the next 50 years , and though Schnabel 's artist 's eye is on display , the Israel / Palestine conflict is a subject that he never brings into clear focus -- at least with regard to Israelis . And when he presents what some would believe terrorist actions of his protagonists , he sidesteps the potentially horrible consequences : a disgraced former nurse -- a lifesaver -- plants a bomb in a crowded movie theater -LRB- playing , without a hint of subtlety , Roman Polanski 's `` Repulsion '' -RRB- but the device fails to explode ; a car bomb is set off by Miral 's political activist boyfriend -- though there are seemingly no casualties . So much for the horrors of war . -LRB- `` Miral '' contains anger-inducing violent themes , particularly for those sympathetic to Israel . -RRB-",conflict of interest lsquomiralrsquo director arabictinged tongues slumdog millionaire kendall square cinema before night falls earnest platitudes basquiat biographies mama hind husseini miral rated pg 13 jerusalem circa painterturneddirector julian schnabel oscarnominated butterfly musical choices terrific second tom waits schnabels girlfriend palestinian journalist rula jebreal exquisite the diving bell miral interest director conflict
4,"Depp could be back for more Pirates Johnny Depp will be asked to make a fifth Pirates Of The Caribbean film if the fourth instalment is a success . Producer Jerry Bruckheimer said he already has a screenplay in the works for a fifth Pirates tale , which would follow the forthcoming Pirates Of The Caribbean : On Stranger Tides . '' `` As long as the audience embraces this one , we 'll certainly try to make another one . It 's really up to Johnny . He loves the character , '' '' he said . The original three Pirates blockbusters ended up as a trilogy continuing the same key characters and story line . But Jerry said On Stranger Tides - the first Pirates flick shot with digital 3D cameras - and future Pirates films will be stand-alone stories continuing the adventures of Johnny 's woozy buccaneer Captain Jack Sparrow . '' `` The audience told us -LRB- at test screenings of On Stranger Tides -RRB- what they loved about it is that it was fresh , it was new , it was a whole new story , '' '' Jerry said . '' `` So that will carry over into the next one , too , to give it something fresh and different . '' ''",screenplay carry told stranger adventures next digital character pirates works really new long future audience embraces loves stories make continuing fresh cameras film flick instalment success whole new story digital 3d cameras audience embraces this fifth pirates of the caribbean film trilogy fifth producer jerry bruckheimer johnny's woozy buccaneer captain jack sparrow original ended up as johnny depp tale on stranger tides story line same key characters
5,"H&M Profit Misses Estimates as Retailer Absorbs Cost Rises -LRB- Adds comments from press conference in sixth paragraph . -RRB- March 31 -LRB- Bloomberg -RRB- - Hennes & Mauritz AB , the world 's second-largest clothing retailer , reported first-quarter profit that fell more than analysts anticipated as the company decided against passing on higher costs to customers . Net income dropped 30 percent to 2.62 billion kronor -LRB- $ 420 million -RRB- in the quarter ended Feb. 28 from 3.74 billion kronor from the year-earlier period , the Stockholm-based company said in a statement today . The average estimate of 13 analysts surveyed by Bloomberg was for profit of 2.77 billion kronor . The shares fell as much as 4.4 percent . H&M 's sales dropped 1 percent in the period while larger rival Inditex SA posted a 10 percent jump in its fourth quarter ended Jan. 31 . H&M , which buys its products from about 700 suppliers , has reduced prices for some items even as the price of cotton has traded near a record while some competitors have raised or maintained them . `` H&M is making a massive bet on market-share gains , '' Simon Irwin , an analyst at Liberum Capital in London , said by phone today . `` They 're cutting prices in an environment where their costs are rising and competition is increasing . '' H&M shares fell as much as 9.5 kronor to 207.10 kronor and traded at 208.40 kronor as of 12:01 p.m. . The stock has dropped 6.9 percent this year , compared with larger rival Inditex 's 0.7 percent advance . Inditex runs Zara stores . The Swedish retailer 's strategy to not pass on increased sourcing costs has served it well and the strategy is `` good in the longer term , '' H&M Chief Executive Officer Karl-Johan Persson said at a press conference today . Trench Coat H&M sells a trench coat on its U.K. Website for 34.99 pounds -LRB- $ 56.44 -RRB- , while Zara offers one for 79.99 pounds . Inditex , which also runs Massimo Dutti and Bershka stores , gets about 65 percent of its revenue from Zara . H&M sources two-thirds of its product from Asia . Inditex gets about 35 percent of its products from there and only half of that amount comes from China , where input costs are rising the fastest , said London-based Societe Generale analyst Anne Critchlow in an e-mail . `` H&M has chosen to reduce its prices in the current environment , which further hurts the gross margin , '' said Critchlow , who has a sell rating on the stock . `` Inditex says its prices are maintained . '' H&M 's gross margin in the first quarter was 57.8 percent , compared with 61.9 percent a year earlier . Sales in February rose by 9 percent in local currencies from the same month last year and advanced 3 percent between March 1 and March 29 . ` More Robust ' `` Inditex is much better-placed '' than H&M , said Irwin . `` Its top-line has been more robust , and given its mid-market positioning and proximity sourcing base it is less exposed to rising input prices . '' H&M also said today that the three months was `` characterized by continued restrained consumption , a discount - driven market with many price activities and unfavourable weather conditions , '' in December when it closed some stores temporarily amid heavy snowstorms . `` Sales have remained sluggish , which we think will raise concerns that H&M is confusing customers and pricing too close to discounters , '' said Bank of America Merrill Lynch analyst Richard Chamberlain in a note today . Inditex also plans to expand at about twice the pace of H&M , with a target of 500 new stores this year while H&M aims for 250 . Inditex said on March 23 that it opened 160 stores in Asia last year , of which 75 were in China 's main and smaller cities . The Spanish retailer plans to add a further 120 Chinese stores across its eight brands in 2011 . - With assistance by Janina Pfalzer in Stockholm . Editor : Celeste Perri , Paul Jarvis To contact the reporter on this story : Armorel Kenna in Milan at akenna@bloomberg.net To contact the editor responsible for this story : Celeste Perri at cperri@bloomberg.net .",sixth paragraph story billion kronor statement today average estimate more than press conference percent consumption amount midmarket period input editor responsible larger rival quarter today conference today main competition margin discount record contact february liberum capital in london product fourth quarter stockholmbased company phone analyst market environment company persson cotton smaller marketshare revenue strategy pass prices absorbs cost rises misses estimates hm retailer profit
6,"Undercover Audio Reveals Rajaratnam 's Frantic Calls After Goldman-Buffett Tip Fund manager Raj Rajaratnam made $ 1 million in two minutes of frantic calls after receiving an inside tip about a big investment in Goldman Sachs at the height of the financial crisis , prosecutors said this week at the Galleon founder 's insider trading trial . In the biggest Wall Street insider trading case since the 1980s , U.S. prosecutors have persistently pressed phone tap evidence that Rajaratnam had a direct line to his friend and then Goldman Sachs director , Rajat Gupta , who leaked bank secrets to him . The trial is in its fourth week and could last until the end of April . On Wednesday , the Manhattan federal court jury heard another FBI phone tap to support government allegations Rajaratnam knew a day before it was announced in September 2008 that Goldman would receive a $ 5 billion investment from Warren Buffett 's Berkshire Hathaway . In the phone tap of a call on Sept. 24 , 2008 , between Rajaratnam and his personal Galleon trader , Ian Horowitz , he is heard describing his efforts the previous day to buy shares two minutes before the 4 p.m. stock market close . '' `` I got a call at 3:58 , right ? '' '' Rajaratnam said , referring to the September 23 conversation with Gupta about a Goldman board meeting that day . '' `` Saying something good might happen to Goldman , right ? '' '' But when he then called Galleon , the first trader he reached was unable to complete it . '' `` I , so I told Ananth to buy some , he was fucking around , he ca n't , you know . So I went to Gary and just buy me , right ? '' '' The full name of trader Ananth was not known and the other person was Gary Rosenbach , then a Galleon manager . Below , you can listen to the most recent undercover audio recordings played in court this week . Rajaratnam discussing inside information regarding Goldman Sachs earnings :",court happen million recordings played discussing galleon allegations prosecutors fund manager conversation listen direct information regarding phone financial describing called evidence recent reached meeting person reveals frantic director receiving announced referring pressed biggest heard recordings efforts known founder's investment trader bank secrets undercover manhattan federal
7,"GM sells Delphi stake for $ 3.8 B Sale strengthens automaker 's cash , boosts balance sheet David Shepardson and Christina Rogers / The Detroit News General Motors Co. has sold its ownership stake in Delphi Automotive LLP to bolster cash and fortify its balance sheet . The Detroit automaker said Thursday the sale was valued at $ 3.8 billion . GM , which spun off Delphi as a separate company in 1999 , reacquired partial ownership of in the Troy-based supplier in October 2009 as it exited bankruptcy as a new firm owned mostly by former creditors . Delphi filed for bankruptcy in 2005 . '' `` We are systematically delivering on our commitment to strengthen and simplify our balance sheet , '' '' said Dan Ammann , who officially becomes GM 's senior vice president and chief financial officer today . The sale ends a painful period for GM , which had sought to end its ties with Delphi , only to be forced to reacquire its global steering business in 2009 . It sold the business to a Chinese government firm last year . The sale does n't change GM 's day-to-day relationship with the global auto supplier . '' `` It allows GM and Delphi to have a normal automaker , supplier relationship , '' '' said GM spokesman Jim Cain . GM will report $ 1.6 billion in revenue from the sale in the first quarter of 2011 . While GM will eventually earn $ 3.8 billion on the sale , it previously spent $ 12.5 billion to help the supplier during its bankruptcy stay . Analyst Joe Phillippi , AutoTrends Consulting in Short Hills , N.J. , said the sale is n't likely to change things much for GM or the auto supplier . '' `` This is the culmination of a process that began more than 10 years ago , '' '' Phillippi said . '' `` GM is bringing in more cash and they 'll pay down more debt , pure and simple . '' '' On Thursday , the Pension Benefit Guaranty Corp. -- the government 's pension insurer -- sold its stake in Delphi for $ 594 million . The move helps clear the way for Delphi 's private equity owners to sell the company or take it public . PBGC , which pays Delphi 's pension benefits , obtained an interest in Delphi Automotive in 2009 for claims on its bankruptcy-terminated pension plans . dshepardson@detnews.com",christina rogers 2011 bankruptcy phillippi autotrends consulting stake end its ties chief financial officer forced to reacquire jim cain systematically troybased fortify chinese government sold insurer commitment delphi automotive llp 16 billion private equity gm sells david shepardson 38b balance sheet pension benefit guaranty corp dan ammann detroit news general motors co revenue 594 million pension benefit ownership things much for officially becomes simple sheet relationship move helps clear said thursday new firm public balance separate company forced valued claims billion sale than cash reacquire first quarter take last year auto bringing sale strengthens process which pays global chinese down more debt
8,"Google faces tax investigation by China Long-running feud between country and internet company flares up again as Beijing alleges tax violations by subsidiaries Chinese authorities have found three companies linked to Google Inc broke tax rules and are investigating possible tax avoidance , a state-run newspaper said on Thursday , raising the risk of renewed pressure on the internet search giant . Google said two of the companies named were its units , and a third was a separate firm that works closely with Google . But Google denied the tax violations alleged in the Chinese-language Economic Daily . '' `` We believe we are , and always have been , in full compliance with Chinese tax law , '' '' Google said in a statement . Even if the report is unfounded or embellished , it could bring fresh headaches in China for Google , which has gone through difficult times there since early last year when it clashed with the government over internet censorship and hacking attacks . China generates a small percentage of Google 's revenues , but is the world 's largest internet market with more than 450 million users . The country 's search market , dominated by homegrown Baidu Inc , was worth 11bn yuan -LRB- # 1.05 bn -RRB- in 2010 and is likely to grow by about 50 % each year for the next four years , according to iResearch . The Economic Daily said that the three companies investigated and punished were '' `` Google enterprises in China '' '' . '' `` The taxation authorities have already investigated and punished the three companies according to the law , '' '' said the report on its front page . The companies were accused of presenting false and unjustified claims to the total value of 40m yuan , said the report . It did not say when the claimed violations are alleged to have happened . '' `` It is understood by this reporter that the taxation authorities are further investigating Google businesses in China on suspicion of tax avoidance , '' '' said the brief story , which was also later reported by China 's official Xinhua news agency . A Google spokesperson said the two of the accused companies - Google Information Technology -LRB- China -RRB- Co Ltd and and Google Information Technology -LRB- Shanghai -RRB- Co Ltd - were its sub-units . It said the third company named , Google Advertising -LRB- Shanghai -RRB- Co Ltd , was a separate firm which works '' `` closely with Google as Google 's sole first-tier reseller in China '' '' of advertising on the search engine 's web pages . '' `` Most foreign companies in China , especially high-profile companies with a global reputation at stake , are pretty careful to make sure they are in full compliance with the relevant tax laws , '' '' said Mark Natkin , managing director of Marbridge Consulting , a Beijing-based company that advises investors about China 's Internet and telecommunications sectors . China 's foreign ministry would not comment directly about the report . '' `` Generally speaking , any companies operating abroad should obey the laws and regulations of the host country , '' '' said the ministry spokeswoman Jiang Yu . The report appeared after Google again clashed with the Chinese government over internet censorship . Earlier this month , Google said any difficulty that users in China may have faced opening its email service were likely the result of government blocks . China 's ruling Communist party has intensified censorship in recent months , fearing that calls for protests inspired by anti-authoritarian uprisings across the Middle East and north Africa could gather momentum . Google 's serious run-ins with the Chinese government began in January 2010 , when the company said it was no longer willing to censor search results in the country . Previously , the company included a disclaimer on its China service that searches may not be complete because of local laws .",total said managing began year revenues authorities renewed front information enterprises hacking careful accused law headaches google 50 government over beijingbased embellished bring worth the company china's statement world's recent mark homegrown longrunning marbridge brief story government middle east spokeswoman companies investigating 50 each year censorship regulations reputation shanghai generates country beijing north africa internet named tax law businesses china separate units service unjustified disclaimer unfounded iresearch director tax investigation newspaper homegrown baidu violations telecommunications protests avoidance momentum 450 million economic daily mark natkin search giant punished
9,"Alaska oil bill draws early fire JUNEAU , Alaska , April 1 -LRB- UPI -RRB- - An Alaska lawmaker introduced an amendment Friday that would give oil companies a tax break provided they pledged to increase production . Alaska Gov. Sean Parnell , a Republican , unveiled plans for 1 million barrels of oil production per day through the Trans-Alaska pipeline system within the next decade . Parnell said he was proposing a tax break for oil companies to encourage investments and to erase declines in state oil production . '' `` The time to reduce oil taxes is now and I am asking all Alaskans to send a clear message to legislators in Juneau that a '' `` do-nothing '' '' strategy is unacceptable because Alaska 's future is at stake , '' '' he said in a statement . But state Rep. Bob Miller , D-Fairbanks , introduced an amendment that would put certain restrictions on oil companies . Under Miller 's plan , companies would get a tax break until January 2017 . After that , they would need to have increased production by 10 percent of current levels to continue getting a break and increase production by another 2 percent each year beyond 2017 . '' `` We want to be sure that they are earning the breaks that we are giving , '' '' Miller said in a statement . '' `` This amendment says here 's the benefit . If you do not make certain metrics for the benefit of Alaska , we withdraw those benefits . '' ''",benefit declines production pledged barrels companies proposing increased production certain metrics withdraw oil companies fire introduced alaska amendment restrictions clear message future juneau alaska lawmaker introduced republican alaska oil bill draws statement earning encourage investments increase production legislators unacceptable pipeline tax break provided break break provided giving bill draws early fire state oil amendment friday asking reduce encourage next decade parnell continue getting make certain metrics strategy erase declines
