predicted,ground_truth
"SubString{String}[""resource allocation system"", ""first auction mechanism"", ""users bid"", ""auction mechanism"", ""user bids"", ""resource allocation"", ""such bids"", ""value bid"", ""bid value"", ""resource window"", ""first time"", ""users"", ""auction"", ""user"", ""system"", ""bids"", ""resources"", ""resource"", ""allocation"", ""mechanism"", ""time"", ""bid"", ""value"", ""auctions"", ""such"", ""hours"", ""first"", ""window""]","[""resource allocation system"", ""combinatorial auction"", ""mirage system"", ""sensornet testbed"", ""distributed applications"", ""resource allocation"", ""market-based system"", ""distribution system"", ""strategy behavior"", ""ration"", ""auction-based scheme"", ""node-hour price"", ""usable overhead"", ""batch schedule""]"
"SubString{String}[""data center migration"", ""virtual server migration"", ""live server migration"", ""network data"", ""live data center"", ""new data center"", ""data center services"", ""data storage"", ""server migration"", ""a data center"", ""live service migration"", ""a virtual server"", ""a new data"", ""a remote replication system"", ""data center"", ""remote data"", ""a local storage system"", ""virtual server"", ""live migration"", ""data point"", ""new data"", ""a data"", ""such remote replication"", ""data recovery"", ""migration system"", ""storage replication"", ""network state"", ""such migration"", ""remote replication mechanisms"", ""remote replication technologies"", ""migration services"", ""a migration"", ""local network"", ""migration technologies"", ""new network"", ""a network"", ""network changes"", ""remote storage"", ""data"", ""server a"", ""a server"", ""storage system"", ""migration"", ""storage mechanisms"", ""network"", ""a storage"", ""replication system"", ""application state"", ""a virtual"", ""server"", ""application performance"", ""storage"", ""state such"", ""virtual"", ""replication"", ""a service"", ""such local"", ""state changes"", ""application"", ""such a"", ""a local"", ""new mechanisms"", ""a new"", ""recovery point"", ""t p."", ""a performance"", ""remote"", ""approach"", ""live"", ""service"", ""state"", ""system"", ""such"", ""local"", ""point"", ""new"", ""services"", ""time"", ""t"", ""mechanisms"", ""a"", ""amount"", ""case"", ""performance"", ""changes"", ""technologies"", ""recovery""]","[""data center migration"", ""wan"", ""lan"", ""virtual server"", ""storage replication"", ""synchronous replication"", ""asynchronous replication"", ""network support"", ""storage"", ""voip"", ""internet-based service"", ""voice-over-ip"", ""database""]"
"SubString{String}[""agent i = l"", ""− i −"", ""n − i"", ""first i −"", ""seller i ="", ""first i agents"", ""i −"", ""i ="", ""a buyer i"", ""agent i"", ""a seller i"", ""a generalized knapsack problem"", ""allocation problem n"", ""i ≤"", ""buyer i"", ""i units"", ""first i"", ""generalized knapsack problem"", ""auction problem"", ""agents j ="", ""optimal knapsack solution"", ""i"", ""a forward auction"", ""knapsack problem"", ""a reverse auction"", ""allocation problem"", ""m ="", ""a feasible solution"", ""total cost"", ""approximation algorithm"", ""cost r"", ""generalized problem"", ""n −"", ""= n"", ""l ="", ""time approximation"", ""≤ j ≤"", ""auction mechanism"", ""agent l"", ""approximation scheme"", ""total value"", ""r −"", ""r ="", ""forward auction"", ""reverse auction"", ""a constant number"", ""j ="", ""efficient auction"", ""a value"", ""− i)"", ""i) −"", ""optimal solution"", ""allocation algorithm"", ""feasible solution"", ""a tuple t"", ""n agents"", ""efficient mechanism"", ""j) +"", ""solution set"", ""problem"", ""n ≤"", ""l ≤"", ""most n"", ""total time"", ""a solution"", ""optimal knapsack"", ""i) +"", ""other agents"", ""cost"", ""l units"", ""efficient allocation"", ""total number"", ""feasible set"", ""most r"", ""a forward"", ""a knapsack"", ""j) ≤"", ""a reverse"", ""constant time"", ""time t"", ""generalized knapsack"", ""a feasible"", ""a bid"", ""a number"", ""approximation"", ""a set"", ""−"", ""="", ""a buyer"", ""a tuple"", ""value"", ""m"", ""a constant"", ""agent"", ""tuple t"", ""a seller"", ""auction"", ""+"", ""solution"", ""algorithm"", ""mechanism"", ""n"", ""l"", ""agents"", ""forward"", ""time"", ""knapsack"", ""total"", ""reverse"", ""optimal"", ""allocation"", ""feasible"", ""≤"", ""efficient"", ""other"", ""scheme"", ""bid"", ""most"", ""number"", ""set"", ""j)"", ""let"", ""buyer"", ""units"", ""tuple"", ""tuples"", ""j"", ""a"", ""constant"", ""generalized"", ""t"", ""i)"", ""first"", ""seller""]","[""forward auction"", ""reverse auction"", ""equilibrium"", ""bidding language"", ""dynamic programming"", ""approximation algorithm"", ""strategyproof"", ""approximately-efficient and approximately strategyproof auction mechanism"", ""single-good multi-unit allocation problem"", ""fully polynomial-time approximation scheme"", ""vickrey-clarke-grove"", ""marginal-decreasing piecewise constant curve"", ""multi-unit auction""]"
"SubString{String}[""grid nodes execution"", ""a master grid"", ""slave grid node"", ""many task allocation"", ""work allocation"", ""best allocation policy"", ""a grid"", ""grid nodes"", ""task allocation"", ""many work units"", ""many allocation"", ""allocation strategy"", ""allocation policy"", ""sequence database"", ""database sequence"", ""a database"", ""a node pi,"", ""database sequences"", ""best execution time"", ""a work"", ""grid"", ""work units"", ""allocation"", ""best local alignment"", ""a sequence"", ""local sequence"", ""a local"", ""a slave"", ""a master"", ""slave nodes"", ""blast"", ""a strategy"", ""execution time"", ""slave node"", ""best execution"", ""master node"", ""database"", ""local alignment"", ""last task"", ""best alignment"", ""best results"", ""work"", ""last s"", ""sequence"", ""a"", ""units"", ""execution"", ""nodes"", ""node"", ""local"", ""sequences"", ""slave"", ""task"", ""number"", ""many"", ""master"", ""time"", ""best"", ""alignment"", ""strategy"", ""s"", ""pi,"", ""parallel"", ""results"", ""policy"", ""last""]","[""biological sequence comparison"", ""task allocation"", ""blast search"", ""packageblast"", ""grid computing"", ""computational biology"", ""grid environment"", ""pss"", ""adaptive multi-policy grid service"", ""bioinformatics"", ""genome project"", ""segmented genetic database"", ""heterogeneous non-dedicated platform"", ""package weighted adaptive self-scheduling"", ""bioinformatic""]"
"SubString{String}[""national kidney exchange market"", ""kidney exchange clearing problem"", ""kidney exchange market"", ""kidney exchange problem"", ""kidney exchange markets"", ""national kidney exchange"", ""market clearing problem"", ""cycle length constraint"", ""kidney exchange"", ""exchange market"", ""additional column generation"", ""large market clearing"", ""optimal tree search"", ""cycle formulation"", ""national kidney"", ""additional kidney"", ""market clearing"", ""column generation"", ""optimal exchange"", ""cycle length"", ""market graph"", ""maximum-weight cycle"", ""exchange solution"", ""search algorithm"", ""clearing problem"", ""national exchange"", ""several column"", ""constraint generation"", ""maximum-weight exchange"", ""first problem"", ""first constraint"", ""tree search"", ""search tree"", ""clearing algorithm"", ""kidney"", ""cycle"", ""first algorithm"", ""several constraint"", ""optimal solution"", ""column"", ""market"", ""edge formulation"", ""exchange"", ""optimal value"", ""cycles"", ""additional columns"", ""p ="", ""large number"", ""additional constraints"", ""problem"", ""primal heuristic"", ""constraint"", ""search"", ""algorithm"", ""patients"", ""columns"", ""="", ""clearing"", ""generation"", ""optimal"", ""edge"", ""number"", ""graph"", ""solution"", ""tree"", ""first"", ""formulation"", ""constraints"", ""primal"", ""value"", ""markets"", ""p"", ""national"", ""additional"", ""most"", ""work"", ""patient"", ""length"", ""heuristic"", ""large"", ""example,"", ""several"", ""time"", ""following"", ""vertex"", ""weight"", ""optimality"", ""maximum-weight""]","[""matching"", ""column generation"", ""kidney"", ""transplant"", ""instance generator"", ""edge formulation"", ""cycle formulation"", ""barter"", ""exchange"", ""match"", ""barter-exchange market"", ""market characteristic"", ""solution approach"", ""branch-and-price""]"
"SubString{String}[""neighboring agents update"", ""relevant agents"", ""agent information"", ""agents set"", ""agent network"", ""search algorithm"", ""neighboring agents"", ""agents update"", ""agent set"", ""reinforcement learning approach"", ""search results"", ""search performance"", ""hierarchical agent"", ""neighboring agent"", ""search session"", ""search process"", ""local search"", ""agents"", ""expected utility value"", ""routing query"", ""query routing"", ""learning algorithm"", ""i ="", ""utility information"", ""agent"", ""search"", ""reinforcement learning"", ""query number"", ""query set"", ""routing time"", ""learning process"", ""query state"", ""i value"", ""expected local reward"", ""expected utility"", ""routing policy"", ""routing performance"", ""content routing"", ""routing algorithms"", ""expected time"", ""learning"", ""relevant documents"", ""documents relevant"", ""query"", ""expected number"", ""="", ""local reward"", ""hierarchical content"", ""queries"", ""utility"", ""information"", ""i"", ""update process"", ""routing"", ""network"", ""time"", ""algorithm"", ""relevant"", ""number"", ""value"", ""approach"", ""set"", ""reinforcement"", ""results"", ""reward"", ""policy"", ""performance"", ""content"", ""section"", ""−"", ""hierarchical"", ""documents"", ""algorithms"", ""systems"", ""state"", ""approaches"", ""neighboring"", ""expected"", ""process"", ""update"", ""local""]","[""reinforcement learning"", ""distributed search algorithm"", ""routing decision"", ""utility"", ""network"", ""learning algorithm"", ""routing policy"", ""query"", ""peer-to-peer information retrieval system"", ""peer-to-peer information retrieval"", ""multi-agent learn"", ""distribute search control""]"
"SubString{String}[""cost distribution function"", ""interruption cost distribution"", ""probability distribution function"", ""more user observations"", ""other agents"", ""cost distribution"", ""other agent"", ""probability distribution"", ""different agents"", ""distribution function"", ""information value"", ""environment information"", ""interruption cost"", ""other fast-paced"", ""other types"", ""more data"", ""other methods"", ""other owners"", ""new user"", ""selective-sharing mechanism"", ""cost estimation"", ""different time"", ""similar fast-paced task"", ""similar agent"", ""more observations"", ""selective-sharing method"", ""agents"", ""more time"", ""data"", ""distribution"", ""different types"", ""information"", ""other"", ""different methods"", ""similarity level"", ""fast-paced environment"", ""average performance"", ""user"", ""different owners"", ""number"", ""such communication"", ""such interaction"", ""similar performance"", ""fast-paced environments"", ""cost"", ""estimation methods"", ""agent"", ""observations"", ""probability"", ""mechanism"", ""time"", ""selective-sharing"", ""function"", ""interruption"", ""different"", ""value"", ""level"", ""performance"", ""such"", ""owner"", ""figure"", ""environment"", ""fast-paced"", ""method"", ""="", ""types"", ""similarity"", ""average"", ""estimation"", ""paper"", ""communication"", ""interaction"", ""methods"", ""environments"", ""test"", ""new"", ""task"", ""more"", ""owners"", ""similar"", ""pages"", ""type"", ""estimations""]","[""probabilistic parameter"", ""agent"", ""decision making"", ""learning mechanism"", ""parameter estimation"", ""interruption management"", ""information sharing"", ""fast-paced environment"", ""multi-agent distributed system"", ""selective-sharing"", ""adjustable autonomy""]"
"SubString{String}[""initialization initialization calculation calculation calculation calculation calculation"", ""trial trial structure"", ""calculation calculation calculation initialization initialization initialization"", ""trial structure optimization"", ""trial molecular structures"", ""trial structure"", ""worker program"", ""calculation trial structures"", ""worker time"", ""client program"", ""grid system"", ""remote cluster"", ""molecular conformational search"", ""structure search"", ""structure optimization"", ""computational grid"", ""search program"", ""worker initialization"", ""grid technology"", ""trial structures"", ""search time"", ""optimization time"", ""remote computational"", ""network performance"", ""calculation time"", ""grid"", ""such initialization"", ""network data"", ""conformational optimization"", ""remote"", ""worker"", ""molecular conformational"", ""trial"", ""performance"", ""structure"", ""molecular conformers"", ""program"", ""client"", ""time"", ""order"", ""search"", ""optimization"", ""data"", ""such"", ""cluster"", ""initialization"", ""system"", ""structures"", ""molecular"", ""network"", ""conformational"", ""table"", ""computational"", ""conformers"", ""local"", ""workers"", ""number"", ""parallel"", ""technology"", ""calculation""]","[""omnirpc"", ""conformational space search"", ""rpc module"", ""initialization procedure"", ""pc cluster"", ""grid computing"", ""grid rpc system"", ""automatic initializable module"", ""conflex-g"", ""bio-molecule"", ""mpus"", ""molecular mechanic"", ""computational chemistry""]"
"SubString{String}[""high bandwidth overlay data"", ""bandwidth overlay tree algorithm"", ""a high bandwidth overlay"", ""high bandwidth data"", ""data a node"", ""high bandwidth overlay"", ""a random overlay tree"", ""a data distribution tree."", ""bottleneck bandwidth tree algorithm"", ""other overlay nodes"", ""bottleneck bandwidth tree"", ""a data packet"", ""node bandwidth"", ""a single node failure high"", ""overlay distribution tree"", ""a multicast overlay tree."", ""bandwidth tree"", ""overlay node"", ""node overlay"", ""data distribution system"", ""overlay network distribution"", ""high bandwidth multicast"", ""bottleneck bandwidth tree."", ""overlay tree"", ""data packet"", ""data rate"", ""data packets"", ""a multicast overlay"", ""a sender node"", ""a packet loss rate"", ""a bandwidth"", ""data distribution"", ""bandwidth tree."", ""disjoint data"", ""data disjoint"", ""high bandwidth"", ""bandwidth available"", ""available bandwidth"", ""low bandwidth topology"", ""a single node"", ""multicast data"", ""a random tree"", ""a distribution tree"", ""same data"", ""data more"", ""overlay network"", ""such data"", ""node network"", ""bandwidth performance"", ""more bandwidth"", ""overlay tree."", ""bottleneck bandwidth"", ""network nodes"", ""such a tree"", ""bandwidth topology"", ""low bandwidth"", ""a node"", ""overlay distribution"", ""high node"", ""overlay link"", ""data"", ""a high rate"", ""packet loss rate"", ""algorithm overlay"", ""other nodes"", ""overlay tree,"", ""overlay links"", ""overlay such"", ""bandwidth"", ""a tree"", ""overlay mesh"", ""a random tree."", ""a distribution tree."", ""nodes multicast"", ""peer node"", ""other tree"", ""node failure"", ""random tree"", ""tree distribution"", ""distribution tree"", ""a disjoint set"", ""however, nodes"", ""multicast tree"", ""a number"", ""overlay"", ""bottleneck tree"", ""a set size"", ""node"", ""a network"", ""a scalable approach"", ""a packet"", ""a rate"", ""nodes"", ""same number"", ""time a"", ""a high"", ""random packet"", ""packet loss"", ""loss rate"", ""a random"", ""tree"", ""a set"", ""a loss"", ""distribution tree."", ""new network"", ""a disjoint"", ""network links"", ""sender a"", ""a sender"", ""loss high"", ""a child"", ""more packet"", ""network topology"", ""a scalable"", ""a summary"", ""parent rate"", ""a root"", ""packet size"", ""multiple packets"", ""a parent"", ""single packet"", ""a tree,"", ""a new"", ""a receiver"", ""a peer"", ""set link"", ""other children"", ""such a"", ""a failure"", ""a topology"", ""a low"", ""a single"", ""a mesh"", ""distribution system"", ""number"", ""other peer"", ""content distribution"", ""peers able"", ""disjoint content"", ""random peers."", ""network"", ""multiple peers"", ""more children"", ""bottleneck link"", ""scalable receiver"", ""multiple children"", ""multicast however,"", ""same bottleneck"", ""packet"", ""rate"", ""bottleneck algorithm"", ""packets"", ""new peer"", ""a"", ""single parent"", ""such techniques"", ""tree."", ""time"", ""multiple peers."", ""high"", ""available"", ""single failure"", ""other"", ""="", ""random"", ""distribution"", ""set"", ""loss"", ""disjoint"", ""sender"", ""peers"", ""child"", ""link"", ""multicast"", ""scalable"", ""performance"", ""summary"", ""children"", ""same"", ""more"", ""system"", ""able"", ""algorithm"", ""root"", ""approach"", ""content"", ""parent"", ""tree,"", ""new"", ""links"", ""section"", ""techniques"", ""receiver"", ""receivers"", ""multiple"", ""bottleneck"", ""peer"", ""goal"", ""size"", ""such"", ""failure"", ""topology"", ""low"", ""single"", ""network."", ""however,"", ""mesh"", ""peers.""]","[""overlay mesh"", ""data dissemination"", ""overlay network"", ""ip multicast"", ""multipoint communication"", ""bullet"", ""bandwidth probing"", ""ransub"", ""content delivery"", ""tfrc"", ""bandwidth"", ""overlay"", ""high-bandwidth data distribution"", ""large-file transfer"", ""real-time multimedia streaming"", ""peer-to-peer""]"
"SubString{String}[""local schedule constraints"", ""quality local option"", ""quality schedule"", ""local schedule changes"", ""current local schedule"", ""method quality"", ""schedule execution"", ""new local schedule"", ""quality task"", ""local agent"", ""agent scheduler"", ""method execution"", ""quality local"", ""local quality"", ""other problem constraints"", ""remote agent"", ""local schedule"", ""distributed agent"", ""time constraints"", ""agent\""s schedule"", ""schedule changes"", ""current schedule"", ""model execution"", ""local problem"", ""new schedule"", ""current time"", ""more other agents"", ""agent"", ""distributed scheduling problem"", ""distributed schedule"", ""local scheduler"", ""more global multi-agent solution"", ""quality"", ""temporal constraints"", ""method duration"", ""agent\""s local"", ""current problem"", ""non-local problem"", ""new task"", ""current constraints"", ""local tasks"", ""execution"", ""task duration"", ""other activities"", ""such local"", ""multi-agent problem"", ""local option"", ""more constraints"", ""schedule"", ""distributed problem"", ""such activities"", ""other agents"", ""more local"", ""new activities"", ""scheduling constraints"", ""local scheduling"", ""other agent\""s"", ""remote agents"", ""new methods"", ""remote methods"", ""time"", ""more agents"", ""method"", ""agent\""s model"", ""new tasks"", ""remote tasks"", ""non-local option"", ""task"", ""more non-local"", ""current solution"", ""such constraint"", ""problem"", ""more remote"", ""constraints"", ""local"", ""duration constraint"", ""multi-agent scheduling"", ""more global"", ""scheduler"", ""global solution"", ""activities"", ""distributed scheduling"", ""agents"", ""methods"", ""temporal"", ""agent\""s"", ""changes"", ""current"", ""non-local"", ""other"", ""tasks"", ""set"", ""such"", ""new"", ""remote"", ""activity"", ""constraint"", ""multi-agent"", ""option"", ""basic"", ""more"", ""model"", ""use"", ""solution"", ""coordination"", ""global"", ""duration"", ""scheduling"", ""distributed"", ""c""]","[""distributed environment"", ""agent architecture"", ""schedule"", ""geographical separation"", ""centralized planning"", ""management"", ""slack"", ""shortest path algorithm"", ""activity allocator"", ""optimistic synchronization"", ""performance"", ""managing schedule"", ""inter-dependent activity"", ""flexible time"", ""scheduler-execution"", ""conflict-driven approach"", ""inter-agent coordination"", ""multi-agent schedule""]"
