predicted,ground_truth
"SubString{String}[""data center migration"", ""virtual server migration"", ""live server migration"", ""network data"", ""live data center"", ""live service migration"", ""server migration"", ""data storage"", ""remote data"", ""data center"", ""live migration"", ""virtual server"", ""such remote replication"", ""remote replication system"", ""network state"", ""such migration"", ""storage replication"", ""local storage system"", ""local network"", ""remote storage"", ""data"", ""remote replication"", ""migration"", ""storage system"", ""network"", ""application state"", ""replication system"", ""server"", ""storage"", ""state such"", ""virtual"", ""replication"", ""such local"", ""application"", ""remote"", ""live"", ""approach"", ""state"", ""service"", ""such"", ""system"", ""local""]","[""internet-based service"", ""voice-over-ip"", ""data center migration"", ""storage replication"", ""storage"", ""voip"", ""wan"", ""virtual server"", ""database"", ""synchronous replication"", ""asynchronous replication"", ""network support"", ""lan""]"
"SubString{String}[""agent i = l"", ""− i −"", ""n − i"", ""i −"", ""i ="", ""agent i"", ""allocation problem n"", ""i agents"", ""auction problem"", ""optimal knapsack solution"", ""knapsack problem"", ""i"", ""m ="", ""allocation problem"", ""agent value"", ""total cost"", ""approximation algorithm"", ""n −"", ""= n"", ""l ="", ""agent l"", ""time approximation"", ""auction mechanism"", ""total value"", ""forward auction"", ""solution set"", ""optimal solution"", ""n agents"", ""allocation algorithm"", ""problem"", ""total time"", ""optimal knapsack"", ""cost"", ""−"", ""="", ""m"", ""approximation"", ""agent"", ""value"", ""+"", ""auction"", ""solution"", ""mechanism"", ""algorithm"", ""n"", ""l"", ""forward"", ""knapsack"", ""time"", ""agents"", ""total"", ""set"", ""optimal"", ""allocation""]","[""fully polynomial-time approximation scheme"", ""forward auction"", ""equilibrium"", ""bidding language"", ""reverse auction"", ""strategyproof"", ""single-good multi-unit allocation problem"", ""vickrey-clarke-grove"", ""marginal-decreasing piecewise constant curve"", ""dynamic programming"", ""approximation algorithm"", ""multi-unit auction"", ""approximately-efficient and approximately strategyproof auction mechanism""]"
"SubString{String}[""grid nodes execution"", ""slave grid node"", ""work allocation"", ""a grid"", ""grid nodes"", ""task allocation"", ""sequence database"", ""database sequence"", ""a database"", ""database sequences"", ""work units"", ""grid"", ""a work"", ""a sequence"", ""allocation"", ""local sequence"", ""a local"", ""a node"", ""a slave"", ""blast"", ""database"", ""slave nodes"", ""slave node"", ""work"", ""sequence"", ""units"", ""a"", ""execution"", ""nodes"", ""local"", ""node"", ""sequences"", ""task"", ""slave""]","[""bioinformatic"", ""package weighted adaptive self-scheduling"", ""biological sequence comparison"", ""segmented genetic database"", ""bioinformatics"", ""packageblast"", ""genome project"", ""pss"", ""task allocation"", ""adaptive multi-policy grid service"", ""heterogeneous non-dedicated platform"", ""grid computing"", ""computational biology"", ""blast search"", ""grid environment""]"
"SubString{String}[""kidney exchange clearing problem"", ""kidney exchange market"", ""kidney exchange problem"", ""market clearing problem"", ""kidney exchange"", ""exchange cycle"", ""exchange market"", ""column generation"", ""market clearing"", ""market graph"", ""exchange solution"", ""clearing problem"", ""search algorithm"", ""first problem"", ""constraint generation"", ""kidney"", ""first constraint"", ""cycle"", ""clearing algorithm"", ""first algorithm"", ""column"", ""optimal solution"", ""market"", ""exchange"", ""cycles"", ""problem"", ""search"", ""constraint"", ""patients"", ""="", ""algorithm"", ""columns"", ""clearing"", ""generation"", ""number"", ""edge"", ""optimal"", ""graph"", ""solution"", ""constraints"", ""first""]","[""exchange"", ""solution approach"", ""column generation"", ""branch-and-price"", ""barter"", ""matching"", ""transplant"", ""kidney"", ""edge formulation"", ""barter-exchange market"", ""market characteristic"", ""match"", ""instance generator"", ""cycle formulation""]"
"SubString{String}[""agent agent"", ""agent information"", ""agents routing"", ""relevant agents"", ""agent network"", ""search algorithm"", ""reinforcement learning approach"", ""agents"", ""agent"", ""i ="", ""routing query"", ""query routing"", ""learning algorithm"", ""search"", ""query number"", ""reinforcement learning"", ""routing time"", ""utility value"", ""i value"", ""query"", ""learning"", ""queries"", ""="", ""information"", ""utility"", ""i"", ""network"", ""time"", ""routing"", ""algorithm"", ""relevant"", ""number"", ""value"", ""approach"", ""reinforcement""]","[""peer-to-peer information retrieval"", ""learning algorithm"", ""distributed search algorithm"", ""peer-to-peer information retrieval system"", ""routing decision"", ""routing policy"", ""utility"", ""query"", ""multi-agent learn"", ""network"", ""distribute search control"", ""reinforcement learning""]"
"SubString{String}[""cost distribution function"", ""interruption cost distribution"", ""probability distribution function"", ""information agents"", ""other agents"", ""other agent"", ""cost distribution"", ""different agents"", ""probability distribution"", ""distribution function"", ""user observations"", ""probability user"", ""agent owner"", ""owners distribution"", ""information value"", ""other owners"", ""interruption cost"", ""user owner"", ""different time"", ""selective-sharing mechanism"", ""agents"", ""different owners"", ""agent"", ""distribution"", ""data"", ""information"", ""other"", ""user"", ""number"", ""cost"", ""observations"", ""probability"", ""function"", ""time"", ""mechanism"", ""selective-sharing"", ""interruption"", ""different"", ""owners"", ""value"", ""such"", ""performance"", ""level"", ""owner"", ""figure""]","[""selective-sharing"", ""fast-paced environment"", ""learning mechanism"", ""information sharing"", ""parameter estimation"", ""probabilistic parameter"", ""adjustable autonomy"", ""interruption management"", ""agent"", ""decision making"", ""multi-agent distributed system""]"
"SubString{String}[""trial trial structure"", ""trial structure optimization"", ""trial structure"", ""client program"", ""worker program"", ""worker time"", ""remote cluster"", ""structure optimization"", ""structure search"", ""search program"", ""optimization time"", ""search time"", ""grid"", ""remote"", ""trial"", ""client"", ""worker"", ""structure"", ""program"", ""performance"", ""time"", ""optimization"", ""search"", ""order"", ""data"", ""cluster"", ""such""]","[""mpus"", ""conflex-g"", ""computational chemistry"", ""automatic initializable module"", ""grid rpc system"", ""initialization procedure"", ""rpc module"", ""molecular mechanic"", ""bio-molecule"", ""omnirpc"", ""grid computing"", ""conformational space search"", ""pc cluster""]"
"SubString{String}[""high bandwidth overlay data streaming"", ""a high bandwidth overlay"", ""a node a node"", ""bandwidth overlay tree"", ""high bandwidth data"", ""data a node"", ""a random overlay tree"", ""high bandwidth overlay"", ""a data distribution tree."", ""data bandwidth"", ""a data packet"", ""node bandwidth"", ""other overlay nodes"", ""overlay distribution tree"", ""a random overlay tree."", ""nodes data"", ""a multicast overlay tree."", ""data distribution system"", ""data a child"", ""overlay streaming tree"", ""overlay node"", ""node overlay"", ""overlay network distribution"", ""a node a"", ""bandwidth tree"", ""high bandwidth multicast"", ""a random overlay"", ""a sender node"", ""a node sender"", ""data distribution"", ""data packet"", ""a data"", ""data rate"", ""a multicast overlay"", ""data packets"", ""overlay tree"", ""a packet loss rate"", ""a distribution tree"", ""a bandwidth"", ""disjoint data"", ""data disjoint"", ""a random tree"", ""high bandwidth"", ""streaming data"", ""data streaming"", ""bandwidth available"", ""available bandwidth"", ""multicast data"", ""node network"", ""bandwidth tree."", ""overlay network"", ""a node"", ""overlay distribution"", ""high node"", ""network nodes"", ""a high rate"", ""overlay tree."", ""data"", ""a distribution tree."", ""overlay link"", ""packet loss rate"", ""other nodes"", ""tree distribution"", ""distribution tree"", ""a tree"", ""bandwidth"", ""a random tree."", ""nodes multicast"", ""other tree"", ""a disjoint set"", ""multicast distribution tree."", ""multicast tree"", ""a number"", ""node"", ""a network"", ""overlay"", ""a packet"", ""a rate"", ""time a"", ""a high"", ""nodes"", ""random packet"", ""a random"", ""distribution tree."", ""packet loss"", ""a set"", ""a loss"", ""a disjoint"", ""loss rate"", ""distribution system"", ""streaming distribution"", ""a streaming"", ""sender a"", ""a sender"", ""a child"", ""a scalable"", ""streaming rate"", ""tree"", ""loss high"", ""set link"", ""number"", ""network"", ""distribution"", ""packet"", ""a"", ""rate"", ""packets"", ""time"", ""high"", ""available"", ""random"", ""other"", ""="", ""tree."", ""set"", ""loss"", ""disjoint"", ""peers"", ""system"", ""streaming"", ""sender"", ""child"", ""scalable"", ""multicast"", ""link""]","[""tfrc"", ""overlay"", ""bullet"", ""overlay mesh"", ""peer-to-peer"", ""bandwidth probing"", ""high-bandwidth data distribution"", ""overlay network"", ""ip multicast"", ""data dissemination"", ""large-file transfer"", ""real-time multimedia streaming"", ""ransub"", ""multipoint communication"", ""bandwidth"", ""content delivery""]"
"SubString{String}[""local schedule constraints"", ""quality schedule"", ""local schedule changes"", ""method quality"", ""current local schedule"", ""schedule execution"", ""quality task"", ""method execution"", ""local agent"", ""quality local"", ""local quality"", ""local schedule"", ""time constraints"", ""agent\""s schedule"", ""schedule changes"", ""current schedule"", ""current time"", ""problem constraints"", ""local problem"", ""local scheduler"", ""agent"", ""quality"", ""agent\""s local"", ""temporal constraints"", ""non-local problem"", ""local tasks"", ""current problem"", ""current constraints"", ""execution"", ""schedule"", ""time"", ""method"", ""task"", ""problem"", ""constraints"", ""scheduler"", ""local"", ""activities"", ""agents"", ""agent\""s"", ""methods"", ""temporal"", ""tasks"", ""changes"", ""non-local"", ""current""]","[""distributed environment"", ""scheduler-execution"", ""multi-agent schedule"", ""conflict-driven approach"", ""inter-agent coordination"", ""managing schedule"", ""shortest path algorithm"", ""management"", ""activity allocator"", ""performance"", ""inter-dependent activity"", ""schedule"", ""slack"", ""agent architecture"", ""geographical separation"", ""flexible time"", ""optimistic synchronization"", ""centralized planning""]"
"SubString{String}[""agents information provision"", ""agent information provision"", ""network information provision"", ""acquaintances information provision"", ""information provision"", ""local information"", ""information"", ""agents search"", ""agents"", ""agent acquaintances"", ""agent local"", ""dynamic network"", ""queries acquaintances"", ""agent"", ""indices case"", ""semantic query"", ""network"", ""dynamic networks"", ""dynamic case"", ""search networks"", ""networks work"", ""queries"", ""acquaintances local"", ""query"", ""indices"", ""approach"", ""number"", ""networks"", ""case"", ""acquaintances"", ""provision"", ""dynamic"", ""semantic"", ""local"", ""search"", ""work""]","[""social network"", ""scalability"", ""artificial social system"", ""robustness"", ""peer-to-peer system"", ""decentralized partially-observable markov decision process"", ""knn approach"", ""cooperative agent"", ""peer to peer search network"", ""decentralized control"", ""performance"", ""gradient search scheme"", ""dependability"", ""information searching and sharing"", ""dynamic and large scale network"", ""myopic algorithm""]"
